DIA_CODE,DIA_TEXT
I10X,HIPERTENSION ESENCIAL (PRIMARIA)
I151,HIPERTENSION SECUNDARIA A OTROS TRASTORNOS RENALES
I152,HIPERTENSION SECUNDARIA  A TRASTORNOS ENDOCRINOS
I158,OTROS TIPOS DE HIPERTENSION SECUNDARIA
I159,"HIPERTENSION SECUNDARIA, NO ESPECIFICADA"
E100,"DIABETES MELLITUS INSULINODEPENDIENTE, CON COMA"
E101,"DIABETES MELLITUS INSULINODEPENDIENTE, CON CETOACIDOSIS"
E102,"DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES RENALES"
E103,"DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES OFTALMICAS"
E104,"DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES NEUROLOGICAS"
E105,"DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS"
E106,"DIABETES MELLITUS INSULINODEPENDIENTE, CON OTRAS COMPLICACIONES ESPECIFICADAS"
E107,"DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES MULTIPLES"
E108,"DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES NO ESPECIFICADAS"
E109,"DIABETES MELLITUS INSULINODEPENDIENTE, SIN MENCION DE COMPLICACION"
E110,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMA"
E111,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON CETOACIDOSIS"
E112,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES RENALES"
E113,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES OFTALMICAS"
E114,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES NEUROLOGICAS"
E115,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS"
E116,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON OTRAS COMPLICACIONES ESPECIFICADAS"
E117,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES MULTIPLES"
E118,"DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES NO ESPECIFICADAS"
E119,"DIABETES MELLITUS NO INSULINODEPENDIENTE, SIN MENCION DE COMPLICACION"
E120,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMA"
E121,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON CETOACIDOSIS"
E122,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES RENALES"
E123,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES OFTALMICAS"
E124,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES NEUROLOGICAS"
E125,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS"
E126,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON OTRAS COMPLICACIONES ESPECIFICADAS"
E127,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES MULTIPLES"
E128,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES NO ESPECIFICADAS"
