year,SEX,count
2005,FEMALE,147
2005,MALE,103
2006,FEMALE,141
2006,MALE,94
2007,FEMALE,115
2007,MALE,98
2008,FEMALE,129
2008,MALE,120
2009,FEMALE,304
2009,MALE,215
2010,FEMALE,504
2010,MALE,326
2011,FEMALE,464
2011,MALE,316
2012,FEMALE,533
2012,MALE,392
2013,FEMALE,579
2013,MALE,493
2014,FEMALE,611
2014,MALE,503
2015,FEMALE,477
2015,MALE,448
2016,FEMALE,536
2016,MALE,450
2017,FEMALE,624
2017,MALE,576
2018,FEMALE,792
2018,MALE,717
2019,FEMALE,893
2019,MALE,821
2020,FEMALE,643
2020,MALE,637
2021,FEMALE,933
2021,MALE,836
2022,FEMALE,986
2022,MALE,971
