HYPERTENSION,DIABETES,HIGH CHOLESTEROL,OBESITY,RENAL
53,74,56,49,73
62,53,58,81,76
49,77,58,72,44
74,86,74,61,90
42,69,65,65,36
86,76,67,69,78
71,46,62,78,64
46,81,85,57,67
73,69,63,53,77
77,77,72,62,47
69,55,58,71,65
61,71,70,63,62
82,55,65,84,75
23,70,77,39,62
47,84,65,61,63
89,75,85,46,81
49,67,70,66,78
65,55,53,87,72
69,58,79,85,56
53,62,67,78,70
90,78,60,44,58
57,63,77,65,73
68,70,51,39,73
57,84,68,74,71
57,80,66,63,81
89,59,90,71,60
65,66,62,68,65
73,69,79,51,54
45,62,79,63,85
83,67,87,69,91
47,77,79,19,54
77,85,71,48,55
81,65,64,62,68
77,51,56,50,47
81,71,57,63,79
85,57,42,58,86
90,76,53,63,60
69,70,61,62,77
66,59,76,77,73
84,60,55,67,64
47,65,76,71,58
58,58,70,53,85
65,72,68,75,49
57,65,76,71,62
67,47,83,81,72
72,79,75,78,74
70,92,89,59,73
65,79,53,88,69
79,77,72,65,86
26,88,49,74,80
78,72,74,79,60
73,66,90,59,51
64,82,51,86,75
85,68,79,74,79
60,83,70,56,80
64,55,54,57,78
44,71,82,62,60
78,56,75,46,64
88,75,84,66,90
75,70,79,60,68
93,78,54,73,79
44,64,71,68,71
96,94,72,39,61
75,64,73,72,67
49,65,85,55,55
80,60,89,62,75
46,69,82,67,60
75,34,77,78,38
40,68,69,72,59
59,68,59,60,66
58,64,79,66,86
80,82,83,58,72
74,48,58,82,70
70,43,74,62,61
79,56,57,89,59
93,56,82,74,73
73,73,65,55,86
73,60,67,67,81
87,71,68,51,53
63,60,75,53,78
84,63,68,77,59
87,72,52,59,76
73,80,59,75,93
90,83,65,58,27
71,76,88,68,87
63,69,73,63,77
64,81,62,54,73
68,71,54,59,81
70,58,65,60,83
51,77,34,63,68
27,44,62,37,65
79,71,58,52,82
45,60,81,72,62
59,80,59,76,83
76,74,91,68,50
50,64,71,80,61
54,41,68,66,81
84,78,65,72,78
39,80,56,65,87
75,73,89,57,90
83,60,78,64,56
85,51,78,72,68
79,85,79,62,74
61,79,61,60,47
84,77,77,71,84
72,68,75,73,39
60,79,58,65,65
74,65,75,67,59
78,84,53,52,76
77,66,64,68,62
59,80,65,81,85
91,86,69,52,71
64,71,61,69,52
58,88,77,74,62
91,80,58,88,85
63,74,83,68,55
46,65,66,64,84
73,48,71,74,67
76,45,77,59,77
49,78,75,43,75
59,64,70,61,39
70,82,55,52,95
41,64,54,59,55
72,59,74,74,71
82,74,69,66,70
61,55,90,64,72
44,69,49,89,80
73,84,64,61,60
83,59,79,87,83
32,68,72,80,91
40,83,66,60,78
73,57,82,81,67
85,66,90,67,53
19,83,73,63,77
65,64,76,76,73
84,80,75,61,71
35,84,74,64,57
84,73,77,58,88
72,61,61,51,82
63,87,75,68,53
37,78,71,83,69
37,73,73,63,88
57,60,45,75,75
63,73,51,36,86
64,70,62,67,66
70,92,57,32,67
28,67,62,73,68
43,77,67,62,59
83,78,83,75,50
79,77,74,62,60
32,79,80,88,69
43,71,80,32,59
63,70,73,50,58
53,66,81,59,82
55,63,56,73,59
63,75,42,71,90
59,55,79,69,80
61,87,59,71,40
77,63,62,60,57
77,78,79,19,82
18,70,61,64,78
69,40,80,70,84
66,66,78,36,73
28,66,67,88,73
41,75,80,85,71
47,74,69,75,76
77,86,68,64,62
13,69,81,63,73
41,76,49,48,61
56,83,77,66,85
67,55,74,66,68
91,58,64,60,48
74,67,53,62,46
77,49,57,69,63
69,87,57,67,59
80,69,63,86,89
63,75,47,72,75
55,62,44,78,62
74,58,69,56,83
48,53,57,73,72
76,60,54,79,83
82,92,62,55,81
62,78,62,64,84
90,80,52,54,79
70,75,75,57,75
62,60,72,54,52
90,64,65,46,83
71,56,52,39,52
63,89,46,54,69
70,89,82,65,74
64,59,81,53,76
43,71,41,65,75
66,85,71,78,84
54,66,79,73,66
48,81,76,71,88
47,65,40,50,74
65,52,60,63,40
