year,SEX,Diagnosis_Code,count
2005,FEMALE,E660,68
2005,FEMALE,E662,4
2005,FEMALE,E669,1
2005,FEMALE,E780,52
2005,FEMALE,E782,1
2005,FEMALE,E784,1
2005,FEMALE,E785,3
2005,FEMALE,I10X,2
2005,FEMALE,I120,5
2005,FEMALE,I158,3
2005,FEMALE,I159,5
2005,FEMALE,N159,1
2005,FEMALE,N170,1
2005,MALE,E660,31
2005,MALE,E662,1
2005,MALE,E780,54
2005,MALE,E785,7
2005,MALE,I10X,1
2005,MALE,I120,2
2005,MALE,I129,2
2005,MALE,I158,2
2005,MALE,I159,2
2005,MALE,N170,1
2006,FEMALE,E660,62
2006,FEMALE,E780,41
2006,FEMALE,E784,1
2006,FEMALE,E785,8
2006,FEMALE,I10X,1
2006,FEMALE,I120,8
2006,FEMALE,I129,6
2006,FEMALE,I151,1
2006,FEMALE,I152,1
2006,FEMALE,I158,1
2006,FEMALE,I159,5
2006,FEMALE,N170,1
2006,FEMALE,O102,5
2006,MALE,E660,31
2006,MALE,E780,37
2006,MALE,E785,13
2006,MALE,I120,4
2006,MALE,I129,4
2006,MALE,I159,1
2006,MALE,N159,3
2006,MALE,N188,1
2007,FEMALE,E660,34
2007,FEMALE,E662,1
2007,FEMALE,E780,53
2007,FEMALE,E784,2
2007,FEMALE,E785,13
2007,FEMALE,I10X,2
2007,FEMALE,I120,4
2007,FEMALE,I129,1
2007,FEMALE,I151,1
2007,FEMALE,I158,2
2007,FEMALE,I159,2
2007,MALE,E660,16
2007,MALE,E669,1
2007,MALE,E780,50
2007,MALE,E784,4
2007,MALE,E785,17
2007,MALE,I10X,1
2007,MALE,I120,5
2007,MALE,I129,1
2007,MALE,I152,1
2007,MALE,I159,1
2007,MALE,N188,1
2008,FEMALE,E660,24
2008,FEMALE,E661,1
2008,FEMALE,E662,3
2008,FEMALE,E669,1
2008,FEMALE,E780,78
2008,FEMALE,E784,2
2008,FEMALE,E785,9
2008,FEMALE,I10X,3
2008,FEMALE,I120,2
2008,FEMALE,I129,1
2008,FEMALE,I151,1
2008,FEMALE,I158,2
2008,FEMALE,I159,1
2008,FEMALE,O102,1
2008,MALE,E660,17
2008,MALE,E662,1
2008,MALE,E780,68
2008,MALE,E782,3
2008,MALE,E784,3
2008,MALE,E785,17
2008,MALE,I10X,5
2008,MALE,I120,3
2008,MALE,I151,1
2008,MALE,I158,1
2008,MALE,O102,1
2009,FEMALE,E100,14
2009,FEMALE,E102,1
